,0
2020-02-08 00:00:00-05:00,7763749888
2020-02-09 00:00:00-05:00,7606049792
2020-02-12 00:00:00-05:00,7434339840
2020-02-13 00:00:00-05:00,7445219840
2020-02-14 00:00:00-05:00,7564870144
2020-02-15 00:00:00-05:00,7606049792
2020-02-19 00:00:00-05:00,7683189760
2020-02-21 00:00:00-05:00,7606049792
2020-02-25 00:00:00-05:00,7278110208
2020-02-26 00:00:00-05:00,7606049792
2020-03-04 00:00:00-05:00,7988870144
2020-03-05 00:00:00-05:00,7988870144
2020-03-06 00:00:00-05:00,7525539840
2020-03-07 00:00:00-05:00,7606049792
2020-05-01 00:00:00-04:00,7583439872
2020-05-21 00:00:00-04:00,7500519936
2020-05-22 00:00:00-04:00,7583439872
2020-07-24 00:00:00-04:00,7570999808
2020-08-04 00:00:00-04:00,7567649792
2020-08-28 00:00:00-04:00,7567649792
2020-09-05 00:00:00-04:00,8067400192
2020-09-06 00:00:00-04:00,7567649792
2020-09-21 00:00:00-04:00,7662819840
2020-09-22 00:00:00-04:00,7567649792
2020-10-21 00:00:00-04:00,7562829824
2020-10-29 00:00:00-04:00,7560500224
2020-11-26 00:00:00-05:00,7560500224
2021-01-28 00:00:00-05:00,7542219776
2021-03-17 00:00:00-04:00,7542219776
2021-04-10 00:00:00-04:00,7465569792
2021-04-10 00:00:00-04:00,7542219776
2021-04-23 00:00:00-04:00,7642220032
2021-04-25 00:00:00-04:00,7525749760
2021-04-27 00:00:00-04:00,7542219776
2021-04-28 00:00:00-04:00,7542219776
2021-04-29 00:00:00-04:00,7531570176
2021-07-30 00:00:00-04:00,7519000064
2021-08-02 00:00:00-04:00,7514890240
2021-09-11 00:00:00-04:00,7554030080
2021-09-11 00:00:00-04:00,7514890240
2021-10-12 00:00:00-04:00,7530729984
2021-10-12 00:00:00-04:00,7514890240
2021-10-19 00:00:00-04:00,7507899904
2021-10-28 00:00:00-04:00,7507979776
2021-12-02 00:00:00-05:00,7519580160
2021-12-03 00:00:00-05:00,7521419776
2021-12-04 00:00:00-05:00,7507979776
2021-12-04 00:00:00-05:00,7658599936
2022-01-27 00:00:00-05:00,7496869888
2022-02-04 00:00:00-05:00,7800719872
2022-02-05 00:00:00-05:00,7496869888
2022-02-11 00:00:00-05:00,7496869888
2022-03-04 00:00:00-05:00,7605040128
2022-03-05 00:00:00-05:00,7496869888
2022-03-16 00:00:00-04:00,7595310080
2022-03-17 00:00:00-04:00,7496869888
2022-03-28 00:00:00-04:00,7507230208
2022-03-31 00:00:00-04:00,7496869888
2022-04-01 00:00:00-04:00,7631819776
2022-04-02 00:00:00-04:00,7496869888
2022-04-29 00:00:00-04:00,7479029760
2022-06-09 00:00:00-04:00,7536840192
2022-06-13 00:00:00-04:00,7479029760
2022-07-28 00:00:00-04:00,7464000000
2022-08-01 00:00:00-04:00,7457889792
2022-08-25 00:00:00-04:00,7475469824
2022-08-26 00:00:00-04:00,7457889792
2022-09-01 00:00:00-04:00,7457889792
2022-09-02 00:00:00-04:00,7488540160
2022-09-02 00:00:00-04:00,7457889792
2022-09-10 00:00:00-04:00,7290379776
2022-09-12 00:00:00-04:00,7457889792
2022-09-15 00:00:00-04:00,7451089920
2022-09-15 00:00:00-04:00,7457889792
2022-09-16 00:00:00-04:00,7665780224
2022-09-16 00:00:00-04:00,7457889792
2022-09-17 00:00:00-04:00,7457889792
2022-09-17 00:00:00-04:00,7477389824
2022-10-29 00:00:00-04:00,7454470144
2023-01-04 00:00:00-05:00,7461940224
2023-01-06 00:00:00-05:00,7454470144
2023-01-27 00:00:00-05:00,7443800064
2023-03-08 00:00:00-05:00,7523469824
2023-03-08 00:00:00-05:00,7443800064
2023-03-10 00:00:00-05:00,7443800064
2023-03-10 00:00:00-05:00,7484519936
2023-03-30 00:00:00-04:00,7586610176
2023-04-01 00:00:00-04:00,7443800064
2023-04-01 00:00:00-04:00,7555180032
2023-04-04 00:00:00-04:00,7471529984
2023-04-05 00:00:00-04:00,7443800064
2023-04-06 00:00:00-04:00,7518150144
2023-04-07 00:00:00-04:00,7443800064
2023-04-27 00:00:00-04:00,7435489792
2023-05-04 00:00:00-04:00,7460160000
2023-05-06 00:00:00-04:00,7435489792
2023-05-14 00:00:00-04:00,7515870208
2023-05-16 00:00:00-04:00,7435489792
2023-06-14 00:00:00-04:00,7489030144
2023-06-14 00:00:00-04:00,7435489792
2023-06-23 00:00:00-04:00,7535580160
2023-06-24 00:00:00-04:00,7435489792
2023-07-05 00:00:00-04:00,7491590144
2023-07-06 00:00:00-04:00,7488039936
2023-07-07 00:00:00-04:00,7435489792
2023-07-12 00:00:00-04:00,7449829888
2023-07-13 00:00:00-04:00,7435489792
2023-07-19 00:00:00-04:00,7731420160
2023-07-21 00:00:00-04:00,7435489792
2023-08-21 00:00:00-04:00,7429760000
2023-10-10 00:00:00-04:00,7429760000
2023-10-11 00:00:00-04:00,7429760000
2023-10-11 00:00:00-04:00,7462119936
2023-10-12 00:00:00-04:00,7429760000
2023-10-12 00:00:00-04:00,7520940032
